,titles,authors,stars,reviews,cover,prices,publishers,genres,year
17,The Book Thief,Markus Zusak,4.6,17748.0,Paperback,11.64,"Alfred A. Knopf; Reprint edition (September 11, 2007)", Teens ,2014
18,The Official SAT Study Guide Second Edition,The College Board,4.4,1141.0,Paperback,1.05,"College Board; 2 edition (July 21, 2009)", Education & Teaching ,2014
19,Humans of New York,Brandon Stanton,4.8,2936.0,Hardcover,13.94,"College Board; 2 edition (July 21, 2009)", Education & Teaching ,2014
20,The Goldfinch: A Novel (Pulitzer Prize for Fiction),Donna Tartt,3.8,25748.0,Hardcover,15.94,"St. Martin's Press; 1st edition (October 15, 2013)", Arts & Photography ,2014
21,"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",American Psychiatric Association,4.2,4201.0,Paperback,117.76,"Little, Brown and Company; 1st edition (October 22, 2013)", Teens ,2014
22,Wonder,R. J. Palacio,4.9,12922.0,Hardcover,11.25,"American Psychiatric Publishing; 5 edition (May 27, 2013)", Textbooks ,2014
23,The Book with No Pictures,B. J. Novak,4.8,4086.0,Hardcover,13.99,"Knopf Books for Young Readers; 1 edition (February 14, 2012)", Children's Books ,2014
24,Rush Revere and the First Patriots: Time-Travel Adventures With Exceptional Americans,Rush Limbaugh,4.9,3200.0,Hardcover,11.29,"Dial Books; 1 edition (September 30, 2014)", Children's Books ,2014
25,The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,4.8,13074.0,Paperback,16.98,"Threshold Editions; 1st Edition edition (March 11, 2014)", Children's Books ,2014
26,Knock-Knock Jokes for Kids,Rob Elliott,4.4,2110.0,Mass Market Paperback,4.49,"Northfield Publishing; Reprint edition (January 1, 2010)", Christian Books & Bibles ,2014
27,JOURNEY TO THE ICE P,RH Disney,4.6,867.0,Paperback,14.42,"Revell (June 15, 2013)", Children's Books ,2014
28,"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.3,4378.0,Paperback,18.43,"Golden/Disney; Act Clr Cs edition (October 1, 2013)", Children's Books ,2014
29,Little Blue Truck Board Book,Alice Schertle,4.9,3572.0,Board book,0.25,"American Psychological Association (APA); 6th edition (July 15, 2009)", Medical Books ,2014
30,Make It Ahead: A Barefoot Contessa Cookbook,Ina Garten,4.4,1011.0,Hardcover,18.95,"HMH Books for Young Readers; Brdbk edition (October 19, 2009)", Children's Books ,2014
31,First 100 Words,Roger Priddy,4.6,7947.0,Board book,3.91,"HMH Books for Young Readers; Brdbk edition (October 19, 2009)", Children's Books ,2014
32,If I Stay,Gayle Forman,4.3,9945.0,Paperback,6.99,"Clarkson Potter; 1st Edition edition (October 28, 2014)"," Cookbooks, Food & Wine ",2014
33,A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,George R. R. Martin,4.6,24306.0,Mass Market Paperback,37.04,"Priddy Books; Brdbk edition (May 10, 2011)", Children's Books ,2014
34,Divergent / Insurgent,Veronica Roth,4.5,44458.0,Hardcover,11.06,"Speak; Reprint edition (April 6, 2010)", Teens ,2014
35,Capital in the Twenty First Century,Thomas Piketty,4.4,1846.0,Hardcover,17.34,"Bantam; Media Tie In edition (October 29, 2013)", Literature & Fiction ,2014
36,Orphan Train,Christina Baker Kline,4.6,20425.0,Paperback,9.99,Katherine Tegen Books; 1st edition (2012), Teens ,2014
37,Mindset: The New Psychology of Success,Carol S. Dweck,4.5,2413.0,Paperback,8.79,Belknap Press: An Imprint of Harvard University Press (2014), Business & Money ,2014
38,How to Win Friends & Influence People,Dale Carnegie,4.7,7176.0,Paperback,9.6,William Morrow (2013), Literature & Fiction ,2014
39,The Very Hungry Caterpillar,Eric Carle,4.6,3924.0,Board book,6.56,"Ballantine Books; Reprint, Updated edition (December 26, 2007)", Law ,2014
40,All the Light We Cannot See,Anthony Doerr,4.6,28139.0,Hardcover,11.42,"Pocket Books (October 1, 1998)", Children's Books ,2014
41,"Grain Brain: The Surprising Truth about Wheat, Carbs,  and Sugar--Your Brain's Silent Killers",David Perlmutter,4.6,4491.0,Hardcover,14.79,"Philomel Books; 1 edition (March 23, 1994)", Literature & Fiction ,2014
42,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,4.8,27685.0,Hardcover,12.17,Scribner (2014)," Health, Fitness & Dieting ",2014
43,Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),Thug Kitchen,4.6,5488.0,Hardcover,13.99,"Little, Brown and Company; 1 edition (September 17, 2013)", Biographies & Memoirs ,2014
44,The Alchemist,Paulo Coelho,4.6,11884.0,Paperback,16.94,"Random House (November 16, 2010)"," Cookbooks, Food & Wine ",2014
45,Looking for Alaska,John Green,4.4,4589.0,Paperback,7.49,"Rodale Books; 1 edition (October 7, 2014)", Literature & Fiction ,2014
46,The Great Gatsby,F. Scott Fitzgerald,4.2,6485.0,Paperback,10.2,"HarperOne; 1st edition (April 25, 1993)", Teens ,2014
47,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown,4.8,20723.0,Paperback,12.97,"Speak; Reprint edition (December 28, 2006)", Literature & Fiction ,2014
48,Love You Forever,Robert Munsch,4.8,6467.0,Paperback,5.95,"Scribner (September 30, 2004)", Sports & Outdoors ,2014
49,The Maze Runner (Book 1),James Dashner,4.4,11313.0,Paperback,9.0,Penguin Books (2014), Children's Books ,2014
0,Allegiant,Veronica Roth,3.7,18003.0,Hardcover,10.49,Katherine Tegen Books; 1ST edition (2013), Teens ,2014
1,Yes Please,Amy Poehler,4.2,3202.0,Hardcover,11.3,"Dey Street; 1st edition (October 28, 2014)", Biographies & Memoirs ,2014
2,The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,4.6,2065.0,Hardcover,12.85,"Jossey-Bass; 1st edition (April 11, 2002)", Business & Money ,2014
3,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.6,7118.0,Paperback,7.49,"Amber-Allen Publishing (November 7, 1997)", Politics & Social Sciences ,2014
4,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.5,5178.0,Paperback,9.98,"Simon & Schuster; Anniversary edition (November 19, 2013)", Business & Money ,2014
5,41: A Portrait of My Father,George W. Bush,4.7,2267.0,Hardcover,10.72,"Crown Publishers; 1st Edition edition (November 11, 2014)", Politics & Social Sciences ,2014
6,Minecraft: The Complete Handbook Collection,Stephanie Milton,4.8,1039.0,Hardcover,4.1,"Scholastic Inc.; Box edition (October 21, 2014)", Children's Books ,2014
7,Frozen: A Tale of Two Sisters,Melissa Lagonegro,4.6,600.0,Paperback,3.99,"Scholastic Inc.; Box edition (October 21, 2014)", Children's Books ,2014
8,Rush Revere and the Brave Pilgrims: Time-Travel Adventures with Exceptional Americans,Rush Limbaugh,4.9,6216.0,Hardcover,13.27,"RH/Disney (October 1, 2013)", Children's Books ,2014
9,The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are,Brené Brown,4.6,3797.0,Paperback,10.99,"Threshold Editions (October 29, 2013)", Children's Books ,2014
10,Divergent / Insurgent / Allegiant,Veronica Roth,4.5,44458.0,Hardcover,26.32,"Hazelden Publishing; 1 edition (August 27, 2010)", Self-Help ,2014
11,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,4.7,15151.0,Paperback,9.44,Katherine Tegen Books; Box Pck Ha edition (2013), Teens ,2014
12,Flash Boys,Michael Lewis,4.5,3363.0,Hardcover,9.95,"Thomas Nelson; Original edition (October 31, 2010)", Christian Books & Bibles ,2014
13,Rush Revere and the American Revolution: Time-Travel Adventures With Exceptional Americans,Rush Limbaugh,4.9,2444.0,Hardcover,11.93,"W. W. Norton & Company; 1 edition (March 31, 2014)", Business & Money ,2014
14,Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,2646.0,Board book,4.99,"Threshold Editions; First Thresholds Ed/ First Printing edition (October 28, 2014)", Children's Books ,2014
15,The Going-To-Bed Book,Sandra Boynton,4.7,2498.0,Board book,5.99,"Little Simon; 17256th edition (May 8, 2007)", Children's Books ,2014
16,The World of Ice & Fire: The Untold History of Westeros and the Game of Thrones,George R. R. Martin,4.6,1855.0,Hardcover,32.86,"Little Simon; Revised edition (November 30, 1982)", Children's Books ,2014
17,The Real ACT (CD) 3rd Edition (Official Act Prep Guide),ACT,4.4,502.0,Paperback,59.5,"Bantam; Later Printing edition (October 28, 2014)", Literature & Fiction ,2014
18,Gray Mountain: A Novel,John Grisham,3.8,18244.0,Hardcover,12.25,"Peterson's; 3 edition (September 6, 2011)", Education & Teaching ,2014
19,What to Expect When You're Expecting,Heidi Murkoff,4.4,3991.0,Paperback,20.81,"Doubleday; First Edition edition (October 21, 2014)"," Mystery, Thriller & Suspense ",2014
20,The Jesus Storybook Bible: Every Story Whispers His Name,Sally Lloyd-Jones,4.9,3591.0,Hardcover,11.99,"Workman Publishing Company; 4th edition (April 10, 2008)"," Health, Fitness & Dieting ",2014
21,"Lean In: Women, Work, and the Will to Lead",Sheryl Sandberg,4.5,4359.0,Hardcover,13.49,"ZonderKidz; 1/30/07 edition (March 1, 2007)", Children's Books ,2014
22,The Invention of Wings,Sue Monk Kidd,4.7,12082.0,Hardcover,6.95,"Knopf; 1 edition (March 12, 2013)", Politics & Social Sciences ,2014
23,Lord of the Flies,William Golding,4.2,2669.0,Mass Market Paperback,7.59,"Viking; 1st Printing edition (January 7, 2014)", Literature & Fiction ,2014
24,Night (Night),Elie Wiesel,4.7,4842.0,Paperback,5.9,"Penguin Books; Reissue edition (December 16, 2003)", Teens ,2014
25,The Catcher in the Rye,J.D. Salinger,4.1,3610.0,Textbook Binding,5.97,"Hill and Wang (January 16, 2006)", History ,2014
26,"Soul Healing Miracles: Ancient and New Sacred Wisdom, Knowledge, and Practical Techniques for Healing the Spiritual, Mental, Emotional, and Physical Bodies",Zhi Gang Sha,4.6,164.0,Hardcover,4.84,"Little, Brown and Company (May 1, 1991)", Teens ,2014
27,"The Care and Keeping of You: The Body Book for Younger Girls, Revised Edition",Valorie Schaefer,4.8,2526.0,Paperback,8.89,"BenBella Books; First Edition edition (November 12, 2013)"," Health, Fitness & Dieting ",2014
28,"The Skinnytaste Cookbook: Light on Calories, Big on Flavor",Gina Homolka,4.7,2274.0,Hardcover,21.92,"Amer Girl; New Rev edition (March 26, 2012)", Children's Books ,2014
29,Fahrenheit 451,Ray Bradbury,4.4,3436.0,Paperback,8.99,"Clarkson Potter; 1 edition (September 30, 2014)"," Health, Fitness & Dieting ",2014
30,"Goodnight, Goodnight Construction Site",Sherri Duskey Rinker,4.9,2861.0,Hardcover,9.73,"Simon & Schuster; Reissue edition (January 10, 2012)", Science Fiction & Fantasy ,2014
31,Paper Towns,John Green,4.2,5326.0,Paperback,6.48,"Chronicle Books; First Edition edition (May 4, 2011)", Children's Books ,2014
32,"The Everything Kids' Science Experiments Book: Boil Ice, Float Water, Measure Gravity-Challenge the World Around You!",Tom Robinson,4.6,1130.0,Paperback,9.63,"Speak; Reprint edition (September 22, 2009)", Teens ,2014
33,1984 (Signet Classics),George Orwell,4.5,6417.0,Mass Market Paperback,6.1,"Everything; unknown edition (October 1, 2001)", Children's Books ,2014
34,The Outsiders,S. E. Hinton,4.7,2281.0,Paperback,7.99,"Signet Classic (January 1, 1961)", Humor & Entertainment ,2014
35,MONEY Master the Game: 7 Simple Steps to Financial Freedom,Tony Robbins,4.4,2758.0,Hardcover,15.99,"Speak; Platinum ed. edition (April 20, 2006)", Teens ,2014
36,Goodnight Moon,Margaret Wise Brown,4.7,3219.0,Board book,6.19,"Simon & Schuster; 1st edition (November 18, 2014)", Business & Money ,2014
37,Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,4.5,5467.0,Paperback,10.33,"HarperFestival; Reissue edition (January 23, 2007)", Children's Books ,2014
38,Revival: A Novel,Stephen King,4.0,5786.0,Hardcover,13.15,"Broadway Books (January 29, 2013)", Science & Math ,2014
39,Giraffes Can't Dance,Giles Andreae,4.7,3987.0,Board book,4.83,"Scribner; 1st edition (November 11, 2014)", Literature & Fiction ,2014
40,Minecraft: Redstone Handbook: An Official Mojang Book,Scholastic,4.7,394.0,Hardcover,14.79,"Cartwheel Books; Brdbk edition (March 1, 2012)", Children's Books ,2014
41,Of Mice and Men,John Steinbeck,4.4,3091.0,Mass Market Paperback,8.19,"Scholastic Inc. (March 25, 2014)", Children's Books ,2014
42,10-Day Green Smoothie Cleanse: Lose Up to 15 Pounds in 10 Days!,JJ Smith,4.7,8759.0,Paperback,19.99,"Penguin Books; Reissue edition (September 1, 1993)", Literature & Fiction ,2014
43,"Crucial Conversations Tools for Talking When Stakes Are High, Second Edition",Kerry Patterson,4.6,1562.0,Paperback,10.75,"Adiva Publishing (February 9, 2014)"," Health, Fitness & Dieting ",2014
44,A Day in the Sun (Disney Frozen) (Pictureback(R)),Frank Berrios,4.5,340.0,Paperback,3.99,"McGraw-Hill Education; 2 edition (September 9, 2011)", Business & Money ,2014
45,The Giver (Giver Quartet),Lois Lowry,4.4,10297.0,Mass Market Paperback,0.99,"RH/Disney; Stk edition (January 7, 2014)", Children's Books ,2014
46,Chicka Chicka Boom Boom (Board Book),Bill Martin Jr.,4.7,2556.0,Board book,7.99,"Laurel-Leaf; Reprint edition edition (September 10, 2002)", Teens ,2014
47,Against All Grain: Delectable Paleo Recipes to Eat Well & Feel Great,Danielle Walker,4.7,2153.0,Paperback,22.06,Little Simon (2012), Children's Books ,2014
48,Minecraft: Essential Handbook: An Official Mojang Book,Stephanie Milton,4.7,418.0,Hardcover,10.95,"Victory Belt Publishing; Paperback with Flaps edition (July 30, 2013)"," Cookbooks, Food & Wine ",2014
49,Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,2544.0,Hardcover,16.59,"Scholastic Inc.; 1st Edition edition (November 26, 2013)", Children's Books ,2014
0,First 100 Words,Roger Priddy,4.6,7947.0,Board book,3.91,"Priddy Books; Brdbk edition (May 10, 2011)", Children's Books ,2015
1,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie Kondō,4.4,13166.0,Hardcover,9.69,"Ten Speed Press; 1st edition (October 14, 2014)", Politics & Social Sciences ,2015
2,Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.5,4316.0,Paperback,4.45,"Revell (August 1, 2010)", Children's Books ,2015
3,Secret Garden: An Inky Treasure Hunt and Coloring Book,Johanna Basford,4.7,4259.0,Paperback,8.95,"Laurence King Publishing; Act Clr Cs edition (March 26, 2013)", Children's Books ,2015
4,StrengthsFinder 2.0,Tom Rath,4.0,3519.0,Hardcover,14.99,"Gallup Press; 1 edition (February 1, 2007)", Business & Money ,2015
5,Go Set a Watchman: A Novel,Harper Lee,3.5,11804.0,Hardcover,11.99,"Harper; 1st Edition edition (July 14, 2015)", Literature & Fiction ,2015
6,Enchanted Forest: An Inky Quest & Coloring Book,Johanna Basford,4.8,3369.0,Paperback,10.29,"Laurence King Publishing; Act Clr Cs edition (February 17, 2015)", Arts & Photography ,2015
7,All the Light We Cannot See,Anthony Doerr,4.6,28139.0,Hardcover,11.42,Scribner (2014), Literature & Fiction ,2015
8,The Girl on the Train,Paula Hawkins,4.1,58109.0,Hardcover,11.24,Riverhead Books (2015), Literature & Fiction ,2015
9,Adult Coloring Book: Stress Relieving Patterns,Blue Star Coloring,4.4,1847.0,Paperback,8.45,"Blue Star Coloring; Csm edition (March 28, 2015)", Arts & Photography ,2015
10,Diary of a Wimpy Kid #10: Old School,Jeff Kinney,4.8,1745.0,Hardcover,7.58,"Amulet Books; 2nd edition (November 3, 2015)", Children's Books ,2015
11,To Kill a Mockingbird,Harper Lee,4.7,10181.0,Mass Market Paperback,8.61,"Grand Central Publishing (October 11, 1988)"," Mystery, Thriller & Suspense ",2015
12,Adult Coloring Book: Stress Relieving Animal Designs,Blue Star Coloring,4.6,2052.0,Paperback,8.45,"Blue Star Coloring; Csm edition (April 12, 2015)", Arts & Photography ,2015
13,"Adult Coloring Books: A Coloring Book for Adults Featuring Mandalas and Henna Inspired Flowers, Animals, and Paisley Patterns",Brandon Stanton,4.4,2032.0,Hardcover,8.09,"St. Martin's Press; 1st Edition edition (October 13, 2015)", Arts & Photography ,2015
14,Humans of New York : Stories,Andy Weir,4.9,1694.0,Paperback,16.19,"Broadway Books; Reprint edition (October 28, 2014)", Science Fiction & Fantasy ,2015
15,The Martian,Dr. Seuss,4.7,30324.0,Hardcover,8.99,"Random House (January 22, 1990)", Children's Books ,2015
16,"Oh, the Places You'll Go!",Rob Elliott,4.8,5702.0,Mass Market Paperback,12.76,"Revell (June 15, 2013)", Children's Books ,2015
17,Knock-Knock Jokes for Kids,Rod Campbell,4.4,2110.0,Board book,4.49,"Little Simon; 17256th edition (May 8, 2007)", Children's Books ,2015
18,Dear Zoo: A Lift-the-Flap Book,Drew Daywalt,4.8,2646.0,Hardcover,4.99,"Philomel Books; 1st edition (June 27, 2013)", Children's Books ,2015
19,The Day the Crayons Quit,Daniel James Brown,4.8,3768.0,Paperback,12.59,Penguin Books (2014), Sports & Outdoors ,2015
20,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Sarah Young,4.8,20723.0,Hardcover,12.97,"Thomas Nelson; Special and Rev edition (October 10, 2004)", Christian Books & Bibles ,2015
21,Jesus Calling: Enjoying Peace in His Presence,Carol S. Dweck,4.9,16946.0,Paperback,9.55,"Ballantine Books; Reprint, Updated edition (December 26, 2007)", Law ,2015
22,Mindset: The New Psychology of Success,E L James,4.5,2413.0,Paperback,8.79,"Vintage (June 18, 2015)", Literature & Fiction ,2015
23,Grey: Fifty Shades of Grey as Told by Christian (Fifty Shades of Grey Series),Marjorie Sarnat,4.3,14585.0,Paperback,9.97,"Dover; Clr Csm edition (April 15, 2015)"," Crafts, Hobbies & Home ",2015
24,Creative Haven Creative Cats Coloring Book (Adult Coloring),Dale Carnegie,4.8,2822.0,Paperback,5.66,"Pocket Books (October 1, 1998)", ,2015
25,How to Win Friends & Influence People,Gary Chapman,4.7,7176.0,Paperback,9.6, , Arts & Photography ,2015
26,The 5 Love Languages: The Secret to Love that Lasts,Angie Grace,4.8,13074.0,Paperback,9.35,"Northfield Publishing; Reprint edition (January 1, 2015)", Children's Books ,2015
27,Balance (Angie's Extreme Stress Menders Volume 1),Marjorie Sarnat,4.6,1546.0,Paperback,11.95,"CreateSpace Independent Publishing Platform (February 22, 2015)", Science & Math ,2015
28,Creative Haven Owls Coloring Book (Adult Coloring),Thug Kitchen,4.8,2606.0,Hardcover,5.09,"Dover Publications; Clr Csm edition (July 15, 2015)"," Cookbooks, Food & Wine ",2015
29,Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),Giles Andreae,4.6,5488.0,Board book,13.99,"Rodale Books; 1 edition (October 7, 2014)", Children's Books ,2015
30,Giraffes Can't Dance,R. J. Palacio,4.7,3987.0,Hardcover,4.83,"Cartwheel Books; Brdbk edition (March 1, 2012)", Children's Books ,2015
31,Wonder,Stephen R. Covey,4.9,12922.0,Paperback,11.25,"Knopf Books for Young Readers; 1 edition (February 14, 2012)", Business & Money ,2015
32,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Don Miguel Ruiz,4.5,5178.0,Paperback,9.98,"Simon & Schuster; Anniversary edition (November 19, 2013)", Politics & Social Sciences ,2015
33,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Atul Gawande,4.6,7118.0,Hardcover,7.49,"Amber-Allen Publishing (November 7, 1997)", Medical Books ,2015
34,Being Mortal: Medicine and What Matters in the End,Robert Munsch,4.8,7096.0,Paperback,12.31,"Metropolitan Books; 1 edition (October 7, 2014)", Children's Books ,2015
35,Love You Forever,Eric Carle,4.8,6467.0,Board book,5.95,"Firefly Books (September 1, 1995)", Children's Books ,2015
36,The Very Hungry Caterpillar,American Psychological Association,4.6,3924.0,Paperback,6.56,"Philomel Books; 1 edition (March 23, 1994)", Medical Books ,2015
37,"Publication Manual of the American Psychological Association, 6th Edition",Ta-Nehisi Coates,4.3,4378.0,Hardcover,18.43,"American Psychological Association (APA); 6th edition (July 15, 2009)", Politics & Social Sciences ,2015
38,Between the World and Me,DK,4.6,3903.0,Board book,12.32,"Spiegel & Grau; 1 edition (July 14, 2015)", Children's Books ,2015
39,Baby Touch and Feel: Animals,B. J. Novak,4.4,1697.0,Hardcover,5.13,"DK Children; Act Mus Br edition (January 21, 2008)", Children's Books ,2015
40,The Book with No Pictures,David McCullough,4.8,4086.0,Hardcover,13.99,"Dial Books; 1 edition (September 30, 2014)", Engineering & Transportation ,2015
41,The Wright Brothers,Marty Noble,4.6,5409.0,Paperback,9.7,"Simon & Schuster; Book Club Edition edition (May 5, 2015)", Arts & Photography ,2015
42,Dover Creative Haven Art Nouveau Animal Designs Coloring Book (Adult Coloring),Kristin Hannah,4.7,1741.0,Hardcover,5.99,"Dover Publications; First Edition, First edition (March 21, 2013)", Christian Books & Bibles ,2015
43,The Nightingale: A Novel,Ree Drummond,4.8,37138.0,Hardcover,15.02,"St. Martin's Press; 1st edition (February 3, 2015)"," Cookbooks, Food & Wine ",2015
44,"The Pioneer Woman Cooks: Dinnertime - Comfort Classics, Freezer Food, 16-minute Meals, and Other Delicious Ways to Solve Supper",Dr. Seuss,4.8,7118.0,Hardcover,18.08,"William Morrow Cookbooks; First Edition edition (October 20, 2015)", Children's Books ,2015
45,What Pet Should I Get? (Classic Seuss),Bill O'Reilly,4.6,1015.0,Hardcover,10.66,"Random House Books for Young Readers; Complete Numbers Starting with 1, 1st Ed edition (July 28, 2015)", Biographies & Memoirs ,2015
46,Killing Reagan: The Violent Assault That Changed a Presidency (Bill O'Reilly's Killing Series),Scholastic,4.6,4807.0,Paperback,14.98,"Henry Holt and Co.; First Edition edition (September 22, 2015)", Children's Books ,2015
47,Harry Potter Coloring Book,Chris Kyle,4.6,1149.0,Mass Market Paperback,10.79,"Scholastic Inc.; Later Printing edition (November 10, 2015)", Biographies & Memoirs ,2015
48,American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,Melissa Hartwig,4.6,15540.0,Hardcover,9.99,"HarperCollins; Reprint edition (January 29, 2013)"," Cookbooks, Food & Wine ",2015
49,The Whole30: The 30-Day Guide to Total Health and Food Freedom,,4.6,3288.0,,19.49,"Houghton Mifflin Harcourt; 1st Edition edition (April 21, 2015)",,2015
0,Diary of a Minecraft Zombie Book 1: A Scare of A Dare (Volume 1),Zack Zombie,4.7,1658.0,Paperback,5.92,"Scribner (September 30, 2004)", Literature & Fiction ,2015
1,The Great Gatsby,F. Scott Fitzgerald,4.2,6485.0,Paperback,10.2,"Penguin Books; Clr Csm edition (October 27, 2015)", Teens ,2015
2,Lost Ocean: An Inky Adventure and Coloring Book for Adults,Johanna Basford,4.6,1609.0,Paperback,9.99,"Jossey-Bass; 1st edition (April 11, 2002)", Business & Money ,2015
3,The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,4.6,2065.0,Hardcover,12.85,"College Board; 2 edition (July 21, 2009)", Education & Teaching ,2015
4,The Official SAT Study Guide Second Edition,The College Board,4.4,1141.0,Paperback,1.05,"College Board; 2 edition (July 21, 2009)", Education & Teaching ,2015
5,10-Day Green Smoothie Cleanse,JJ Smith,4.7,8759.0,Paperback,9.59,"Atria Books (July 15, 2014)"," Health, Fitness & Dieting ",2015
6,The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are,Brené Brown,4.6,3797.0,Paperback,10.99,"Hazelden Publishing; 1 edition (August 27, 2010)", Self-Help ,2015
7,Chicka Chicka Boom Boom (Board Book),Bill Martin Jr.,4.7,2556.0,Board book,7.99,Little Simon (2012), Children's Books ,2015
8,The Day the Crayons Came Home,Drew Daywalt,4.7,970.0,Hardcover,12.49,"Philomel Books; 1st Edition edition (August 18, 2015)", Children's Books ,2015
9,What If?: Serious Scientific Answers to Absurd Hypothetical Questions,Randall Munroe,4.6,3808.0,Hardcover,14.0,"Houghton Mifflin Harcourt; 1st Edition edition (September 2, 2014)", Humor & Entertainment ,2015
10,Paper Towns,John Green,4.2,5326.0,Paperback,6.48,"Speak; Reprint edition (September 22, 2009)", Teens ,2015
11,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,4.8,27685.0,Paperback,9.04,"Random House Trade Paperbacks; Reprint edition (July 29, 2014)", History ,2015
12,Get What's Yours: The Secrets to Maxing Out Your Social Security (The Get What's Yours Series),Laurence J. Kotlikoff,4.1,1853.0,Hardcover,9.76,"Simon & Schuster (February 17, 2015)", Business & Money ,2015
13,"Magnus Chase and the Gods of Asgard, Book 1: The Sword of Summer",Rick Riordan,4.6,1954.0,Hardcover,14.35,"Disney-Hyperion; 1st edition (October 6, 2015)", Children's Books ,2015
14,Dragons Love Tacos,Adam Rubin,4.5,2068.0,Hardcover,12.59,"Dial Books; Later Printing. edition (June 14, 2012)", Children's Books ,2015
15,Fahrenheit 451,Ray Bradbury,4.4,3436.0,Paperback,8.99,"Simon & Schuster; Reissue edition (January 10, 2012)", Science Fiction & Fantasy ,2015
16,"The Care and Keeping of You: The Body Book for Younger Girls, Revised Edition",Valorie Schaefer,4.8,2526.0,Paperback,8.89,"Amer Girl; New Rev edition (March 26, 2012)", Children's Books ,2015
17,Potty (Leslie Patricelli board books),Leslie Patricelli,4.6,3118.0,Board book,4.0,"Candlewick; Brdbk edition (September 14, 2010)", Children's Books ,2015
18,Thing Explainer: Complicated Stuff in Simple Words,Randall Munroe,4.2,934.0,Hardcover,16.99,"Houghton Mifflin Harcourt; F First Edition edition (November 24, 2015)", Science & Math ,2015
19,Dead Wake: The Last Crossing of the Lusitania,Erik Larson,4.5,6397.0,Hardcover,8.46,"Crown Publishers; 1st edition (March 10, 2015)", Engineering & Transportation ,2015
20,The Going-To-Bed Book,Sandra Boynton,4.7,2498.0,Board book,5.99,"Little Simon; Revised edition (November 30, 1982)", Children's Books ,2015
21,"Inspiralized: Turn Vegetables into Healthy, Creative, Satisfying Meals",Ali Maffucci,4.4,1578.0,Paperback,13.97,"Clarkson Potter (February 24, 2015)"," Cookbooks, Food & Wine ",2015
22,Mystical Mandala Coloring Book (Dover Design Coloring Books),Alberta Hutchinson,4.4,1745.0,Staple Bound,3.19,"Dover Publications (February 2, 2007)", Arts & Photography ,2015
23,"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",American Psychiatric Association,4.2,4201.0,Paperback,117.76,"American Psychiatric Publishing; 5 edition (May 27, 2013)", Textbooks ,2015
24,Ultimate Sticker Book: Frozen (Ultimate Sticker Books),DK Publishing,4.4,1154.0,Paperback,6.29,"DK Children; Nov Stk edition (October 1, 2013)", Children's Books ,2015
25,The 20/20 Diet: Turn Your Weight Loss Vision Into Reality,Phil McGraw,3.7,2648.0,Hardcover,10.99,"Ghost Mountain Books; 1st edition (January 6, 2015)"," Health, Fitness & Dieting ",2015
26,Night (Night),Elie Wiesel,4.7,4842.0,Paperback,5.9,"Hill and Wang (January 16, 2006)", History ,2015
27,What to Expect When You're Expecting,Heidi Murkoff,4.4,3991.0,Paperback,20.81,"Workman Publishing Company; 4th edition (April 10, 2008)"," Health, Fitness & Dieting ",2015
28,The Jesus Storybook Bible: Every Story Whispers His Name,Sally Lloyd-Jones,4.9,3591.0,Hardcover,11.99,"ZonderKidz; 1/30/07 edition (March 1, 2007)", Children's Books ,2015
29,The Road to Character,David Brooks,4.3,1554.0,Hardcover,11.38,"Random House; 1 edition (April 14, 2015)", Politics & Social Sciences ,2015
